Catalog,DataAsset,ColumnHeader,BusinessTerm,Category,Done
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,YM,년월,02-기준정보 >> 기간,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,USE_AMT,당월사용금액,영업 >> 방판 영업 >> 1. 주문/재고,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,UPDATE_DATE,갱신일시,01-시스템,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,CREATE_DATE,생성일시,01-시스템,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,END_LIMIT_AMT,기말한도금액,영업 >> 방판 영업 >> 1. 주문/재고,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,LIMIT_ADJUST_AMT,한도유예금액,영업 >> 방판 영업 >> 1. 주문/재고,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,BGN_LIMIT_AMT,기초한도금액,영업 >> 방판 영업 >> 1. 주문/재고,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,LIMIT_AMT,당월한도금액,영업 >> 방판 영업 >> 1. 주문/재고,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,UPDATE_BY,갱신자ID,01-시스템,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,LIMIT_RATE,한도율,영업 >> 방판 영업 >> 1. 주문/재고,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,BUY_AMT,매입금액,영업 >> 방판 영업 >> 1. 주문/재고,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,LIMIT_TYPE,한도유형,영업 >> 방판 영업 >> 1. 주문/재고,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,CREATE_BY,생성자ID,01-시스템,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,AGENCY_CODE,대리점코드,영업 >> 방판 영업 >> 대리점,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,SALORGCD,판매조직코드,영업 >> 영업조직,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,SYS_UPD_USER,시스템갱신자ID,01-시스템,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,SYS_UPD_DATE,시스템갱신일시,01-시스템,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,SYS_INS_USER,시스템입력자ID,01-시스템,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,SYS_INS_DATE,시스템입력일시,01-시스템,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,CUST_AMT,고객구매금액,영업 >> 방판 영업 >> 1. 주문/재고,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,LIMIT_ADJUST2,한도조정2금액,영업 >> 방판 영업 >> 1. 주문/재고,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,LIMIT_ADJUST3,한도조정3금액,영업 >> 방판 영업 >> 1. 주문/재고,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,CUST_TRANS_AMT,고객구매전환금액,영업 >> 방판 영업 >> 1. 주문/재고,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,CUST_LIMIT_AMT,변동재원금액,영업 >> 방판 영업 >> 1. 주문/재고,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,BUY_LIMIT_AMT,고정재원금액,영업 >> 방판 영업 >> 1. 주문/재고,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,CUST_RATE,변동재원율,영업 >> 방판 영업 >> 1. 주문/재고,Y
§ 영업＞방판 카탈로그,[TNA50] 대리점 월 한도설정,LIMIT_ADJUST1,한도조정1금액,영업 >> 방판 영업 >> 1. 주문/재고,Y
§ 영업＞방판 카탈로그,[TNAG0] 대리점 월 입금/채권,AGENCY_INC_AMT,대리점지급금액,영업 >> 방판 영업 >> 대리점,Y
§ 영업＞방판 카탈로그,[TNAG0] 대리점 월 입금/채권,AGENCY_AR_ROTDAY,대리점채권회전일수,영업 >> 방판 영업 >> 대리점,Y
§ 영업＞방판 카탈로그,[TNAG0] 대리점 월 입금/채권,YM,년월,02-기준정보 >> 기간,Y
§ 영업＞방판 카탈로그,[TNAG0] 대리점 월 입금/채권,AGENCY_RECEIPT_AMT,대리점입금금액,영업 >> 방판 영업 >> 대리점,Y
§ 영업＞방판 카탈로그,[TNAG0] 대리점 월 입금/채권,AGENCY_END_AR_AMT,대리점채권잔액,영업 >> 방판 영업 >> 대리점,Y
§ 영업＞방판 카탈로그,[TNAG0] 대리점 월 입금/채권,SYS_UPD_USER,시스템갱신자ID,01-시스템,Y
§ 영업＞방판 카탈로그,[TNAG0] 대리점 월 입금/채권,SALORGCD,판매조직코드,영업 >> 영업조직,Y
§ 영업＞방판 카탈로그,[TNAG0] 대리점 월 입금/채권,SYS_INS_USER,시스템입력자ID,01-시스템,Y
